BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: ANTAGON | Ticks: 783 | Protag R: -5366.00 | Antag R: 5042.00 | Delivery:  27.5% | Budget Used: 3240.00/4000.0
Ep  152 | Phase: ANTAGON | Ticks: 792 | Protag R: -4250.00 | Antag R: 3926.00 | Delivery:  42.9% | Budget Used: 3240.00/4000.0
Ep  153 | Phase: ANTAGON | Ticks: 796 | Protag R: -2744.00 | Antag R: 2396.00 | Delivery:  49.0% | Budget Used: 3480.00/4000.0
Ep  154 | Phase: ANTAGON | Ticks: 785 | Protag R: -4090.00 | Antag R: 3778.00 | Delivery:  32.7% | Budget Used: 3120.00/4000.0
Ep  155 | Phase: ANTAGON | Ticks: 787 | Protag R: -3608.00 | Antag R: 3320.00 | Delivery:  45.7% | Budget Used: 2880.00/4000.0
Ep  156 | Phase: ANTAGON | Ticks: 795 | Protag R: -2370.00 | Antag R: 2118.00 | Delivery:  37.3% | Budget Used: 2520.00/4000.0
Ep  157 | Phase: ANTAGON | Ticks: 798 | Protag R: -3635.00 | Antag R: 3299.00 | Delivery:  55.3% | Budget Used: 3360.00/4000.0
Ep  158 | Phase: ANTAGON | Ticks: 775 | Protag R: -4796.00 | Antag R: 4472.00 | Delivery:  30.9% | Budget Used: 3240.00/4000.0
Ep  159 | Phase: ANTAGON | Ticks: 775 | Protag R: -4604.00 | Antag R: 4304.00 | Delivery:  44.2% | Budget Used: 3000.00/4000.0
Ep  160 | Phase: ANTAGON | Ticks: 798 | Protag R: -5243.00 | Antag R: 4931.00 | Delivery:  30.4% | Budget Used: 3120.00/4000.0
Ep  161 | Phase: ANTAGON | Ticks: 788 | Protag R: -4999.00 | Antag R: 4735.00 | Delivery:  36.5% | Budget Used: 2640.00/4000.0
Ep  162 | Phase: ANTAGON | Ticks: 783 | Protag R: -4917.00 | Antag R: 4581.00 | Delivery:  38.3% | Budget Used: 3360.00/4000.0
Ep  163 | Phase: ANTAGON | Ticks: 797 | Protag R: -7903.00 | Antag R: 7567.00 | Delivery:  20.3% | Budget Used: 3360.00/4000.0
Ep  164 | Phase: ANTAGON | Ticks: 789 | Protag R: -3244.00 | Antag R: 2944.00 | Delivery:  43.1% | Budget Used: 3000.00/4000.0
